symbol,BTC-USD,AVAX-USD,ETH-USD,DOT-USD,MATIC-USD,AAVE-USD,CRV-USD,XRP-USD,MKR-USD,DOGE-USD,BNB-USD,ATOM-USD,SHIB-USD,BTC-USD,AVAX-USD,ETH-USD,DOT-USD,MATIC-USD,AAVE-USD,CRV-USD,XRP-USD,MKR-USD,DOGE-USD,BNB-USD,ATOM-USD,SHIB-USD,BTC-USD,AVAX-USD,ETH-USD,DOT-USD,MATIC-USD,AAVE-USD,CRV-USD,XRP-USD,MKR-USD,DOGE-USD,BNB-USD,ATOM-USD,SHIB-USD
sctr_col,sctr,sctr,sctr,sctr,sctr,sctr,sctr,sctr,sctr,sctr,sctr,sctr,sctr,close,close,close,close,close,close,close,close,close,close,close,close,close,rank,rank,rank,rank,rank,rank,rank,rank,rank,rank,rank,rank,rank
2023-01-25 00:00:00+00:00,59.352781130602345,50.31690358819983,53.960403728564636,52.86881399850455,55.35205788820436,57.9664112170122,68.31379900227131,54.69945201042583,40.12078257708619,51.618427687941555,52.180555780196066,58.20685684034791,59.43621696404788,23117.859375,17.8038902283,1611.7110595703,6.4060659409,0.9936230183,85.7902832031,1.0325189829,0.4176929891,668.8453369141,0.0865940005,307.3076477051,13.5701322556,1.2e-05,3.0,12.0,8.0,9.0,6.0,5.0,1.0,7.0,13.0,11.0,10.0,4.0,2.0
2023-01-26 00:00:00+00:00,63.06479174926906,52.36229803169631,52.551439219626154,54.84394887236431,66.36531770771734,61.926055639123526,67.87422312658605,52.6351842016922,39.487272585517154,52.85019982219936,56.36698508666562,57.99522371261979,59.6516968041043,23032.77734375,18.1080341339,1603.1059570312,6.474820137,1.1223059893,88.9828033447,1.0493839979,0.4101029932,658.4266967773,0.0863730013,304.8665466309,13.1136379242,1.2e-05,3.0,12.0,11.0,8.0,2.0,4.0,1.0,10.0,13.0,9.0,7.0,6.0,5.0
2023-01-27 00:00:00+00:00,63.12966853359758,68.88125831271748,57.37626355323483,55.61077548341909,70.75843541286017,60.31920775844596,73.85428783863514,53.217995943550015,40.66450573932518,54.132274697349914,57.600076072487184,61.78988937478273,59.622765647885515,23078.728515625,21.2541027069,1598.1564941406,6.5676250458,1.1582740545,87.1398162842,1.1314519644,0.41279101370000004,670.9152832031,0.0871229991,308.1231079102,13.5135278702,1.2e-05,4.0,3.0,9.0,10.0,2.0,6.0,1.0,12.0,13.0,11.0,8.0,5.0,7.0
2023-01-28 00:00:00+00:00,58.846267628086174,70.99623416214656,52.132442248435495,55.415065686744796,71.69943745354077,57.51784864094362,68.34007907945315,53.17702434455074,47.369944476943516,56.58059702163028,57.423789523908354,60.925735013434476,59.6181996439376,23031.08984375,20.6049594879,1572.4350585938,6.3983187675,1.1442320347,84.2182312012,1.0718040466,0.4081340134,655.5947875977,0.08778800070000001,306.2443237305,13.2063922882,1.2e-05,6.0,2.0,12.0,10.0,1.0,7.0,3.0,11.0,13.0,9.0,8.0,4.0,5.0
2023-01-29 00:00:00+00:00,61.296933692113726,71.53269211626636,55.561623696802414,57.12088004413626,73.60236292891493,57.985765768433495,69.70146716430818,52.870015835684086,43.27138515388637,58.49913347948997,60.48537008318868,63.80901773480903,55.53144020808341,23774.56640625,21.0797786713,1646.1556396484,6.6157588959,1.1778800488,87.7972564697,1.0903199910999999,0.4137639999,675.1841430664,0.0902329981,317.3362121582,13.8195152283,1.2e-05,5.0,2.0,10.0,9.0,1.0,8.0,3.0,12.0,13.0,7.0,6.0,4.0,11.0
2023-01-30 00:00:00+00:00,57.7681792595633,56.45555458327014,52.371570282758526,47.144220052876065,60.29890302145131,50.100525039586294,53.10808089912106,46.116314647328544,39.7946784391553,53.482334782495215,56.008551957446755,53.68449350620043,55.53426191216916,22840.138671875,19.7391700745,1567.3265380859,6.1881518364,1.0872349739,81.0439758301,0.9928129911,0.3945910037,634.8710327148,0.0883369967,307.0688781738,13.0569477081,1.2e-05,2.0,3.0,9.0,11.0,1.0,10.0,8.0,12.0,13.0,7.0,4.0,6.0,5.0
2023-01-31 00:00:00+00:00,53.7567941318835,57.993999764879526,49.337236074075676,48.16291382246736,64.25958334647233,50.19223303234804,57.38846337663362,50.11002173463728,38.48851976271688,63.05498411941524,57.09621975477235,55.70498586686842,55.5296790318845,23139.283203125,19.844499588,1586.5354003906,6.2643690109,1.1113330126,83.0189056396,1.0184990168,0.406388998,655.203918457,0.0961669981,312.3610534668,13.379324913,1.2e-05,8.0,3.0,11.0,12.0,1.0,9.0,4.0,10.0,13.0,2.0,5.0,6.0,7.0
2023-02-01 00:00:00+00:00,56.2819204610237,61.91225868906156,52.59723748276456,51.52532723659514,72.16787936336605,55.623957040762086,62.99385999799711,52.31722322485845,39.695198210020116,58.506918188796064,54.53663019554458,65.43383524803131,55.514377369042236,23723.76953125,20.9653644562,1641.7927246094,6.4660949707,1.1949670315,88.2696228027,1.1112209558,0.4138920009,668.7462768555,0.0941710025,317.4725952148,14.868429184,1.2e-05,6.0,4.0,10.0,12.0,1.0,7.0,3.0,11.0,13.0,5.0,9.0,2.0,8.0
2023-02-02 00:00:00+00:00,59.492472754164,64.03540595997592,57.57691019842729,50.696105623745495,70.64745986961901,59.73918644710267,58.37915473544486,48.72489153299425,45.21466880461925,54.487611444792535,60.949499126578914,64.8736629156346,55.48692953576468,23471.87109375,21.180059433,1643.2415771484,6.5355329514000005,1.1804440022,88.1965332031,1.0594539642,0.4097470045,670.57421875,0.09097900240000001,323.3497924805,14.3632411957,1.2e-05,6.0,3.0,8.0,11.0,1.0,5.0,7.0,12.0,13.0,10.0,4.0,2.0,9.0
2023-02-03 00:00:00+00:00,59.85570972309362,67.99043596452636,60.89297224849333,60.38717986181822,78.67417245382794,66.31236431488381,66.62823628659092,51.09264960896505,51.264597833627136,59.27449066256363,64.47040843131691,70.671670865931,68.036722264356,23449.322265625,21.3651866913,1664.7456054688,7.0116839409,1.2442270517,90.6985855103,1.114716053,0.41220501070000004,696.205871582,0.0929870009,332.2686767578,14.9964065552,1.3e-05,10.0,4.0,8.0,9.0,1.0,6.0,5.0,13.0,12.0,11.0,7.0,2.0,3.0
